2018-11-17 19:05:46,765 | 7 | INFO  | WindowsServiceCrontab.Program |  | Iniciando programa en modo consola...
2018-11-17 19:05:46,828 | 7 | INFO  | WindowsServiceCrontab.Core.ServiceCore |  | Conectandose a las bases de datos...
2018-11-17 19:05:46,890 | 7 | INFO  | WindowsServiceCrontab.Core.ServiceCore |  | Configurando servicio con la expresión '* * * * *'...
2018-11-17 19:05:46,921 | 7 | INFO  | WindowsServiceCrontab.Core.ServiceCore |  | Servicio corriendo...
2018-11-17 19:06:00,012 | 10 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Obteniendo nuevos avisos para procesar...
2018-11-17 19:06:00,028 | 10 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Se encontraron 3 nuevos avisos por procesar.
2018-11-17 19:06:00,028 | 10 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Ejecutar lógica.
2018-11-17 19:06:00,043 | 10 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Ejecutar lógica.
2018-11-17 19:06:00,043 | 10 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Ejecutar lógica.
2018-11-17 19:06:00,043 | 10 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Fin del procesamiento. Se procesaron 3 avisos en total.
2018-11-17 19:07:02,264 | 10 | INFO  | WindowsServiceCrontab.Program |  | Iniciando programa en modo consola...
2018-11-17 19:07:02,295 | 10 | INFO  | WindowsServiceCrontab.Core.ServiceCore |  | Conectandose a las bases de datos...
2018-11-17 19:07:02,388 | 10 | INFO  | WindowsServiceCrontab.Core.ServiceCore |  | Configurando servicio con la expresión '* * * * *'...
2018-11-17 19:07:02,420 | 10 | INFO  | WindowsServiceCrontab.Core.ServiceCore |  | Servicio corriendo...
2018-11-17 19:08:10,461 | 13 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Obteniendo nuevos avisos para procesar...
2018-11-17 19:08:21,649 | 13 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Se encontraron 3 nuevos avisos por procesar.
2018-11-17 19:08:25,495 | 13 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Ejecutar lógica.
2018-11-17 19:08:25,511 | 13 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Ejecutar lógica.
2018-11-17 19:08:25,511 | 13 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Ejecutar lógica.
2018-11-17 19:08:25,511 | 13 | INFO  | WindowsServiceCrontab.Core.ClientJob |  | Fin del procesamiento. Se procesaron 3 avisos en total.
